file|general|aasist|aasist_cue|aasist_loc|aasist_audible|camhfa|camhfa_cue|camhfa_loc|camhfa_audible|sls|sls_cue|sls_loc|sls_audible|aasist_range/start|aasist_range/end|camhfa_range/start|camhfa_range/end|sls_range/start|sls_range/end|similarity|aasist_range|camhfa_range|sls_range
E_0000863035|"unintelligible, weird silence with some specific ""sharp"" low frequencies"|"""a"" phoneme with buzzing and robotic stutter"|glitch|4|false|"""a"" phoneme with buzzing and robotic stutter"||3|false|"""a"" phoneme with buzzing and robotic stutter"|glitch|4|false|0.3155290328494494|0.7561326372788607|0.5088260980184814|0.6680119163929784|0.3638532991417074|0.6026320267034528|similar regions and therefore probably also cues|||
E_0006354503|low quality synthesis|highest energy with highest artefacts|spectral|4|false|robotic stutter|glitch|4|false|robotic stutter|glitch|4|false|5.073194398856687|5.65243268654224|2.9894915653032896|3.8330802124694974|2.9156289648601654|3.969142897496305|yes they all focus on higher-energy regions|||
E_0000818327||||3|false|||3|false|||3|false||||||||||
E_0000576974|Sounds compressed, but intelligible voice|Buzzy/trembling robotic voice|glitch|4|true|Fluent connection of words fooled CAMHFA|transition|5|true|"the phoeneme ""become"" is attributed as spoof, bot otherwise decent attributions to bona fide throughout the recording"|phoneme|3|false|6.717304117813669|6.9712547575834805|5.413484369727199|5.5280718535257725|0.20130233640289927|0.33756853335255416||||
E_0005272147|Sounds compressed, understandable speech, breath at 6s|Different codec but pretty much the same attributions, Voiced regions are bonafide attributions, unvoiced are spoof attributions|noise|4|false|fluent merging of words fooled CAMHFA|transition|4|true|Voiced regions have higher attribution than unvoiced, bona fide attributions over the whole recording|noise|1|false|5.562156067112159|6.384799965047798|6.604848744330994|6.9535414253489805|0|4.011658514624412|Different cues and regions|||
E_0008685119|some robotic fluctuations, breath at 4s|Insignigicant attributions over the whole recording|unclear|1|false|"Robotic vibration in ""o"" phoneme"|glitch|5|true||unclear|1|false|0|9.65149592731479|2.1031264633110314|2.1978263415839483|0|4.028690654860344||||
E_0002058437|compressed, missing depth, subtle breath at 3s||unclear|1|false||phoneme|5|false|Up and down attributions, more bona fide|unclear|1|false|0.00400972910401485|4.919937610626221|2.2815358601844493|2.3717547650247837|0|4.035792343190947||||
E_0009748169|Clean recording with synthetic vowels, weird unnatural breaths at 2.6 and 5.3 seconds|Audible synthetic pronunciation|glitch|4|true|robotic start, right after its more natural|transition|5|true||transition|4|false|0.21492249283639026|0.8821445601493629|3.0859020613224986|3.159681424534991|1.3825611106340925|1.5204964418574474|Not very simillar|||
E_0005216308|flat voice, synthetic vowels, weird unnatural breaths at 2.6 and 5.3 seconds|Audible synthetic pronunciation|glitch|4|true|robotic start, right after its more natural|transition|5|true|The robotic pronunciation seems bona fide for SLS|phoneme|4|false|0.23380302158719463|0.9063870562900833|3.1002921218685535|3.1611449631035766|0.2530197082929914|0.877562026231388|Not very simillar, AASIST and SLS contradictory|||
E_0008881206|Clean recording with synthetic vowels, weird unnatural breaths at 2.6 and 5.3 seconds||silence|4|false||transition|5|false||transition|4|false|5.191708191682774|5.797033822915374|0.060852841235023256|0.16974739923453855|1.399615348405535|1.4828876574639878|Not very similar|||
E_0009583883|subtle breath at 6S, pretty clean speech, however, it seems cutty, the word ends are sometimes abrupt|high frequency click/artefact|spectral|4|true|breathy speech fooled CAMHFA|phoneme|5|true|melodic pronunciation|phoneme|4|false|1.9588291790782675|2.0806216668966053|6.5937099654983475|6.945554930306879|2.99744845019576|3.515066523423696|different|||
E_0007953346|heavy compression, muffled speech, weird unnatural breaths at 2.6 and 5.3 seconds||silence|4|false||transition|5|false|silence seems natural for SLS|silence|3|false|2.480707105622606|3.0159501116161143|0.06410095880161773|0.18268773258461052|2.455066722101959|3.10889650187846|different|||
E_0007947795|random segments, no coherent speech, many artefacts, even on spectrogram||glitch|1|true|random bona fide attribution, not strong enough|transition|4|false|artefacts over the whole recording, silence is more bona fide|glitch|1|false|0.006437729506737445|5.2660627365112305|1.3948413931264465|1.4656564177005584|0|4.025726851546483||||
E_0004878188|resemblance of a voice, but so distorted it cannot be understood. Has melody, but incomprehensible|"Strongest artefact of robotic ""eeeh"""|glitch|5|true|"very robotic ""that"""|glitch|5|true|muffled robotics|glitch|3|true|4.038583188884707|4.410758860828241|1.9982970693583593|2.150984524514681|2.3113063524288187|3.109098305620599|same cues and similar regions|||
E_0009253430|compressed, but not noisy, clean recording||phoneme|3|false||phoneme|4|false||phoneme|3|false|5.1337122305098255|5.70645291472997|5.12439937385584|5.357220790205492|0|0.1536621347907703|AASIST and CAMHFA similar regions, but otherwise dissimilar|||
E_0004344644|unintelligible, has the melody of a voice but is more like a reverberation. Suspiciously clean silences||unclear|3|false||glitch|3|false||unclear|1|false|2.550815781249005|2.8868843830982263|0.6225533116223274|0.7410037204708233|0|4.0135405974943845||||
E_0009112643|very cutty, not very quality synthesis, compressed|hissing with robotic speech after|phoneme|3|true||glitch|5|true|many cuts in the region|glitch|4|true|5.097164472721413|5.556303848167114|1.585465655835936|1.700250499697361|0.3587026370669538|1.0043673837874707||||
E_0000532475|very echo-y, hard to understand, voice like speaking to a big glass|higher energy higher attributions|spectral|4|false|Spikes when voice melody drops|phoneme|5|true||unclear|1|false|0.4047053631671386|0.9464883493425017|5.992250377216665|6.132591753153657|0|4.037262372885085||||
E_0005595333|Suspiciously sharp cuts to silence, clean silence, slow speech, compression|Voiced regions have higher attributions|phoneme|3|false|transitions between words have occasional spikes, otherwise flat|transition|5|false|high melodicity segment|phoneme|4|true|1.6624802657036444|2.527966246725392|0.20236183009501288|0.30198611568025|3.4806234776342215|3.7577035219181623||||
E_0002887357|compression, but unnatural artefacts||phoneme|2|false|Word ends have attribution spikes|transition|5|false|fluent mixing of two words together|phoneme|4|false|0.9573070600738153|1.3309498666842585|2.932973926399623|3.0135635513548165|0.7936857003163009|1.072086222888788||||
